user_id,signup_date,acquisition_channel,device_type,country,plan_type,funnel_stage,session_count,session_duration_min,features_used,support_tickets,user_feedback,satisfaction_score,upgraded,churned,onboarding_completed,bugs_reported,referral_count,trial_days_left,last_active_days
27,2026-02-01,Organic,Tablet,USA,Free,Sign-up,3.0,10.0,0.0,0.0,Will decide after trial ends,3.7,0,1,0,0.0,0.0,0.0,1.0
28,2025-12-22,Organic,Desktop,Germany,Free,Sign-up,3.0,20.0,0.0,0.0,Will decide after trial ends,3.4,0,1,0,0.0,0.0,0.0,2.0
29,2025-07-25,Organic,Mobile,USA,Free,First Feature Use,7.0,33.0,5.0,0.0,Still evaluating whether premium is worth it,3.1,0,1,1,1.0,0.0,0.0,1.0
30,2025-10-14,Paid,Desktop,USA,Premium,Upgrade,16.0,97.0,16.0,1.0,Customer support was excellent,4.5,1,0,1,1.0,0.0,0.0,8.0
31,2025-06-25,Referral,Desktop,UK,Basic,First Feature Use,8.0,41.0,5.0,0.0,Needs a few more integrations,3.2,0,0,1,2.0,1.0,2.0,12.0
32,2025-01-22,Organic,Mobile,Germany,Free,Landing,2.0,5.0,0.0,0.0,Too many steps during setup process,1.9,0,1,0,0.0,0.0,0.0,5.0
33,2025-09-02,Paid,Desktop,India,Free,First Feature Use,6.0,36.0,3.0,1.0,Still evaluating whether premium is worth it,3.8,0,1,1,3.0,0.0,0.0,16.0
34,2026-01-22,Paid,Desktop,USA,Basic,Onboarding,,43.0,2.0,0.0,Not sure if I'll continue,3.6,0,0,1,1.0,0.0,5.0,11.0
35,2025-12-11,Paid,Desktop,India,Free,Sign-up,4.0,13.0,1.0,0.0,Still exploring features,3.4,0,1,0,0.0,0.0,0.0,6.0
36,2025-11-21,Organic,Desktop,UK,Free,Sign-up,4.0,17.0,0.0,0.0,Not sure if I'll continue,3.5,0,1,0,2.0,0.0,0.0,8.0
37,2026-02-04,Referral,Mobile,USA,Premium,Upgrade,23.0,69.0,16.0,0.0,Helped our team productivity,4.8,1,0,1,0.0,0.0,0.0,19.0
38,2025-01-26,Organic,Desktop,India,Basic,Upgrade,17.0,72.0,18.0,1.0,Automated reports are a lifesaver,4.9,1,0,1,0.0,0.0,0.0,
39,2025-05-08,Paid,Desktop,USA,Free,Onboarding,4.0,41.0,3.0,0.0,Still evaluating whether premium is worth it,4.0,0,1,1,0.0,0.0,0.0,11.0
40,2025-07-27,Organic,Mobile,Canada,Free,Sign-up,4.0,17.0,1.0,0.0,Standard SaaS experience,2.5,0,1,0,0.0,0.0,0.0,6.0
41,2025-04-08,Paid,Mobile,UK,Free,First Feature Use,7.0,55.0,6.0,1.0,Meets minimum requirements,3.1,0,1,1,0.0,1.0,0.0,10.0
42,2026-01-15,Referral,Desktop,USA,Free,First Feature Use,6.0,66.0,3.0,0.0,It's fine for now,3.0,0,1,1,0.0,0.0,0.0,11.0
43,2025-03-03,Organic,Mobile,UK,Free,Landing,2.0,9.0,0.0,0.0,Email notifications are spammy,2.5,0,1,0,1.0,0.0,0.0,5.0
44,2025-02-24,Organic,Desktop,USA,Free,Onboarding,6.0,44.0,3.0,0.0,Decent but not great,3.7,0,1,1,0.0,0.0,0.0,2.0
45,2026-03-26,Paid,Tablet,UK,Free,Landing,2.0,,0.0,0.0,Too many bugs on mobile,2.4,0,1,0,0.0,0.0,0.0,5.0
46,2025-12-02,Paid,Mobile,USA,Free,Sign-up,2.0,18.0,0.0,0.0,Dashboard loads slowly,2.1,0,1,0,0.0,0.0,0.0,8.0
47,2025-08-12,Paid,Mobile,USA,Free,Sign-up,2.0,23.0,0.0,0.0,Support response time is slow,1.3,0,1,0,0.0,0.0,0.0,5.0
48,2026-04-17,Organic,Mobile,India,Free,Landing,2.0,13.0,0.0,0.0,Mobile app crashes while exporting reports,1.5,0,1,0,,0.0,0.0,2.0
49,2025-12-26,Organic,Desktop,India,Free,Landing,1.0,6.0,0.0,1.0,Cannot customize reports enough,2.3,0,1,0,0.0,0.0,,4.0
50,2026-02-24,Organic,Tablet,USA,Free,First Feature Use,6.0,34.0,5.0,1.0,Ok for basic use,3.4,0,1,1,0.0,0.0,0.0,17.0
51,2025-08-08,Organic,Mobile,UK,Free,Sign-up,3.0,18.0,0.0,0.0,Needs a few more integrations,,0,1,0,1.0,0.0,0.0,1.0
52,2025-01-17,Referral,Mobile,UK,Free,First Feature Use,8.0,54.0,4.0,0.0,Not blown away but not disappointed,2.7,0,1,1,,1.0,0.0,15.0
53,2025-03-26,Organic,Desktop,USA,Free,Landing,1.0,13.0,0.0,0.0,UI feels outdated,1.2,0,1,0,0.0,0.0,0.0,4.0
54,2026-02-24,Organic,Desktop,USA,Free,Landing,2.0,5.0,0.0,0.0,Mobile app crashes while exporting reports,1.2,0,1,0,0.0,0.0,0.0,1.0
55,2025-02-01,Organic,Mobile,India,Free,Sign-up,2.0,11.0,0.0,1.0,Pricing too high for small businesses,1.9,0,1,0,1.0,0.0,0.0,4.0
56,2025-12-10,Organic,Desktop,USA,Free,Landing,2.0,6.0,0.0,0.0,UI feels outdated,2.2,0,1,0,0.0,0.0,0.0,6.0
57,2025-02-17,Paid,Mobile,Germany,Free,Landing,1.0,14.0,0.0,0.0,Pricing too high for small businesses,1.6,0,1,0,0.0,0.0,0.0,1.0
58,2025-04-29,Paid,Desktop,UK,Free,Onboarding,3.0,37.0,2.0,2.0,Will decide after trial ends,3.9,0,1,1,,0.0,0.0,8.0
59,2026-01-22,Organic,Mobile,Germany,Free,Sign-up,3.0,20.0,1.0,2.0,Standard SaaS experience,3.0,0,1,0,0.0,0.0,0.0,7.0
60,2026-01-27,Organic,Mobile,USA,Free,Landing,2.0,14.0,0.0,1.0,Too many bugs on mobile,2.0,0,1,0,1.0,0.0,0.0,4.0
61,2026-02-06,Organic,Desktop,India,Free,First Feature Use,,57.0,4.0,0.0,It's fine for now,3.1,0,1,1,1.0,0.0,0.0,10.0
62,2026-03-22,Paid,Mobile,USA,Free,Onboarding,3.0,26.0,2.0,0.0,Could be better but not terrible,2.7,0,1,1,0.0,0.0,0.0,6.0
63,2025-11-21,Paid,Mobile,India,Free,Onboarding,5.0,30.0,1.0,0.0,Average experience so far,3.3,0,1,1,0.0,0.0,0.0,13.0
64,2025-10-24,Organic,Tablet,USA,Free,Landing,2.0,11.0,0.0,0.0,Too many bugs on mobile,2.0,0,1,0,0.0,0.0,,1.0
65,2026-03-20,Paid,Desktop,USA,Free,First Feature Use,6.0,,7.0,0.0,Not sure if I'll continue,3.0,0,1,1,1.0,0.0,0.0,16.0
66,2025-04-21,Paid,Mobile,USA,Free,Sign-up,2.0,19.0,0.0,0.0,Pricing feels too expensive,2.1,0,1,0,0.0,0.0,0.0,7.0
67,2025-09-26,Referral,Desktop,USA,Basic,First Feature Use,5.0,34.0,6.0,0.0,Meets minimum requirements,3.8,0,0,1,3.0,0.0,2.0,1.0
68,2025-03-20,Referral,Desktop,India,Premium,Upgrade,11.0,100.0,8.0,0.0,Best SaaS tool I've used,4.4,1,0,1,0.0,1.0,0.0,4.0
69,2025-08-14,Organic,Desktop,UK,Free,Landing,2.0,13.0,0.0,0.0,No dark mode,2.2,0,1,0,1.0,0.0,0.0,6.0
70,2025-05-09,Organic,Mobile,UK,Basic,Upgrade,22.0,74.0,15.0,1.0,Reporting module saves a lot of time,4.8,1,0,1,0.0,0.0,0.0,27.0
71,2025-09-29,Organic,Desktop,USA,Free,Landing,1.0,7.0,0.0,0.0,Billing system is confusing,1.0,0,1,0,0.0,0.0,0.0,4.0
72,2026-02-26,Paid,Desktop,USA,Free,First Feature Use,10.0,49.0,6.0,1.0,Very intuitive UI,4.3,0,1,1,0.0,0.0,0.0,
73,2025-09-20,Referral,Desktop,India,Free,Onboarding,4.0,28.0,3.0,0.0,Could be better but not terrible,3.2,0,1,1,0.0,2.0,0.0,4.0
74,2025-06-24,Paid,Mobile,India,Basic,Upgrade,12.0,88.0,10.0,0.0,Analytics dashboard is insightful,4.2,1,0,1,1.0,0.0,0.0,21.0
75,2025-04-17,Organic,Desktop,USA,Free,Landing,2.0,10.0,0.0,0.0,Mobile app crashes while exporting reports,2.5,0,1,0,0.0,0.0,0.0,4.0
76,2025-04-21,Organic,Mobile,UK,Premium,Upgrade,23.0,142.0,14.0,0.0,Worth every penny,4.9,1,0,1,0.0,,0.0,13.0
77,2025-12-26,Organic,Desktop,India,Premium,Upgrade,19.0,107.0,16.0,0.0,Highly recommend to other teams,4.7,1,0,1,0.0,0.0,0.0,3.0
78,2026-02-01,Organic,Tablet,Germany,Free,Landing,2.0,6.0,0.0,0.0,Missing basic integrations,1.4,0,1,0,0.0,0.0,0.0,5.0
79,2025-10-12,Paid,Mobile,USA,Free,Sign-up,4.0,11.0,1.0,1.0,Will decide after trial ends,3.5,0,1,0,,0.0,0.0,7.0
80,2025-09-30,Organic,Mobile,India,Free,First Feature Use,9.0,69.0,7.0,,Automated reports are a lifesaver,4.5,0,1,1,1.0,1.0,0.0,16.0
81,2025-04-09,Organic,Desktop,USA,Free,Sign-up,4.0,10.0,0.0,1.0,Still exploring features,3.1,0,1,0,0.0,,0.0,3.0
82,2025-10-16,Paid,Desktop,India,Basic,First Feature Use,10.0,57.0,6.0,0.0,Mobile experience is smooth,4.9,0,0,1,1.0,0.0,4.0,19.0
83,2025-09-24,Organic,Mobile,USA,Free,First Feature Use,10.0,45.0,4.0,,Customer support was excellent,4.2,0,1,1,1.0,0.0,0.0,14.0
84,2025-05-26,Organic,Desktop,UK,Free,Sign-up,2.0,17.0,0.0,0.0,Cannot customize reports enough,2.0,0,1,0,1.0,0.0,0.0,6.0
85,2026-02-17,Organic,Desktop,UK,Free,Onboarding,4.0,44.0,1.0,0.0,Not sure if I'll continue,3.0,0,1,1,0.0,0.0,0.0,4.0
86,2025-12-30,Referral,Desktop,USA,Basic,Onboarding,7.0,28.0,2.0,0.0,Will decide after trial ends,3.8,0,0,1,0.0,0.0,12.0,13.0
87,2025-07-23,Paid,Desktop,UK,Basic,First Feature Use,10.0,50.0,4.0,1.0,Very intuitive UI,4.1,0,0,1,0.0,0.0,2.0,17.0
88,2025-05-17,Organic,Mobile,India,Free,Landing,2.0,14.0,0.0,0.0,UI feels outdated,1.6,0,1,0,0.0,0.0,,3.0
89,2025-09-22,Paid,Tablet,USA,Premium,Upgrade,10.0,138.0,14.0,0.0,Great value for money,4.9,1,0,1,0.0,0.0,0.0,19.0
90,2025-03-28,Organic,Mobile,USA,Premium,Upgrade,19.0,66.0,16.0,1.0,Automated reports are a lifesaver,4.8,1,0,1,0.0,0.0,0.0,2.0
91,2025-09-02,Paid,Mobile,USA,Free,Sign-up,2.0,21.0,0.0,0.0,Support response time is slow,2.0,0,1,0,0.0,0.0,0.0,6.0
92,2026-03-07,Paid,Mobile,India,Free,Onboarding,6.0,42.0,2.0,0.0,Ok for basic use,3.0,0,1,1,1.0,0.0,0.0,8.0
93,2025-06-13,Referral,Desktop,India,Free,Landing,1.0,13.0,0.0,0.0,Support response time is slow,,0,1,0,0.0,0.0,0.0,5.0
94,2025-07-12,Paid,Desktop,India,Free,Sign-up,3.0,22.0,1.0,0.0,Average experience so far,3.1,0,1,0,0.0,0.0,0.0,5.0
95,2025-11-12,Referral,Mobile,USA,Premium,Upgrade,12.0,89.0,10.0,0.0,Data export works perfectly,4.7,1,0,1,1.0,0.0,0.0,13.0
96,2025-06-10,Referral,Desktop,USA,Free,First Feature Use,9.0,69.0,5.0,0.0,Reporting module saves a lot of time,4.4,0,1,1,,0.0,0.0,7.0
97,2026-04-15,Referral,Desktop,USA,Free,Landing,1.0,11.0,0.0,0.0,Export functionality is limited,2.0,0,1,0,1.0,0.0,0.0,6.0
98,2026-01-02,Paid,Desktop,Canada,Free,Onboarding,3.0,40.0,1.0,1.0,"Works as expected, nothing special",3.5,0,1,1,1.0,0.0,0.0,9.0
99,2026-02-26,Organic,Desktop,USA,Basic,First Feature Use,7.0,63.0,5.0,1.0,Average experience so far,3.3,0,0,1,0.0,0.0,7.0,9.0
100,2025-01-12,Organic,Mobile,USA,Free,Sign-up,2.0,19.0,1.0,0.0,Pricing feels too expensive,1.0,0,1,0,1.0,0.0,0.0,8.0
101,2025-01-03,Organic,Mobile,India,Free,Landing,2.0,8.0,0.0,0.0,Export functionality is limited,1.7,0,1,0,0.0,0.0,0.0,3.0
102,2026-03-04,Organic,Desktop,Germany,Basic,First Feature Use,7.0,37.0,6.0,0.0,Meets minimum requirements,3.1,0,0,1,1.0,1.0,2.0,8.0
103,2025-05-02,Paid,Mobile,USA,Free,Onboarding,3.0,40.0,3.0,0.0,Standard SaaS experience,3.5,0,1,1,0.0,1.0,0.0,13.0
104,2025-05-21,Paid,Mobile,USA,Free,Sign-up,2.0,21.0,1.0,0.0,Trial period too short,1.1,0,1,0,,0.0,0.0,4.0
105,2025-03-22,Referral,Desktop,UK,Free,First Feature Use,11.0,32.0,6.0,2.0,Easy onboarding experience,4.1,0,1,1,1.0,0.0,0.0,19.0
106,2025-09-08,Organic,Desktop,UK,Free,First Feature Use,5.0,45.0,4.0,0.0,Ok for basic use,2.6,0,1,1,1.0,0.0,0.0,2.0
107,2025-08-31,Organic,Desktop,USA,Free,Landing,2.0,6.0,0.0,0.0,Too many bugs on mobile,1.3,0,1,0,0.0,0.0,0.0,4.0
108,2025-07-10,Paid,Mobile,India,Free,Onboarding,3.0,31.0,1.0,0.0,Need more time before upgrading,3.5,0,1,1,0.0,0.0,0.0,7.0
109,2025-11-26,Organic,Mobile,UK,Free,Sign-up,4.0,16.0,1.0,0.0,Good enough for my use case,3.1,0,1,0,0.0,0.0,0.0,8.0
110,2025-03-11,Organic,Desktop,India,Free,Landing,2.0,8.0,0.0,0.0,Mobile app crashes while exporting reports,2.3,0,1,0,0.0,0.0,0.0,2.0
111,2025-11-11,Referral,Mobile,USA,Free,Landing,2.0,8.0,0.0,0.0,Too many steps during setup process,1.7,0,1,0,0.0,0.0,0.0,5.0
112,2025-05-12,Paid,Mobile,USA,Basic,First Feature Use,5.0,50.0,3.0,1.0,Need more time before upgrading,4.0,0,0,1,1.0,0.0,4.0,15.0
113,2025-08-23,Organic,Mobile,India,Basic,Upgrade,22.0,105.0,17.0,1.0,The API documentation is clear,4.8,1,0,1,1.0,0.0,0.0,
114,2025-08-01,Referral,Desktop,India,Free,Landing,1.0,8.0,0.0,0.0,Too many bugs on mobile,2.0,0,1,0,0.0,0.0,0.0,2.0
115,2025-06-05,Paid,Mobile,India,Free,First Feature Use,11.0,50.0,6.0,1.0,Integration with Slack was seamless,4.1,0,1,1,0.0,0.0,0.0,11.0
116,2026-01-21,Paid,Mobile,India,Free,Onboarding,4.0,43.0,3.0,1.0,Need more time before upgrading,3.0,0,1,1,0.0,0.0,0.0,6.0
117,2025-10-26,Referral,Mobile,USA,Free,Sign-up,3.0,14.0,0.0,0.0,Average experience so far,3.0,0,1,0,0.0,0.0,0.0,8.0
118,2025-05-09,Organic,Mobile,USA,Free,Landing,2.0,12.0,0.0,0.0,No dark mode,1.4,0,1,0,0.0,0.0,0.0,1.0
119,2025-10-13,Paid,Mobile,USA,Basic,Upgrade,19.0,106.0,14.0,0.0,Support team solved my issue quickly,4.8,1,0,1,,0.0,0.0,18.0
120,2025-12-19,Organic,Mobile,Germany,Free,First Feature Use,7.0,57.0,3.0,0.0,Still exploring features,3.1,0,1,1,0.0,0.0,0.0,7.0
121,2026-02-26,Organic,Desktop,USA,Free,Sign-up,4.0,17.0,1.0,0.0,Standard SaaS experience,2.7,0,1,0,0.0,0.0,0.0,9.0
122,2026-03-28,Referral,Mobile,USA,Free,Sign-up,3.0,12.0,0.0,0.0,"Works as expected, nothing special",3.1,0,1,0,1.0,1.0,0.0,
123,2025-08-21,Paid,Mobile,USA,Basic,Onboarding,4.0,40.0,2.0,0.0,"Works as expected, nothing special",3.0,0,0,1,0.0,1.0,8.0,13.0
124,2025-11-02,Paid,Mobile,Germany,Free,Onboarding,7.0,30.0,2.0,0.0,Not blown away but not disappointed,3.3,0,1,1,1.0,0.0,0.0,8.0
125,2025-01-31,Referral,Mobile,India,Basic,Upgrade,22.0,135.0,19.0,0.0,The mobile app is surprisingly good,4.8,1,0,1,0.0,,0.0,7.0
126,2026-02-21,Referral,Mobile,Germany,Free,First Feature Use,10.0,44.0,5.0,0.0,Onboarding tutorial was straightforward,4.9,0,1,1,2.0,1.0,0.0,10.0
127,2025-06-01,Referral,Mobile,USA,Free,Onboarding,3.0,43.0,1.0,0.0,Ok for basic use,3.0,0,1,1,1.0,0.0,0.0,12.0
128,2025-02-04,Paid,Mobile,UK,Free,Sign-up,4.0,13.0,1.0,0.0,Decent but not great,3.1,0,1,0,0.0,1.0,0.0,2.0
129,2025-06-24,Organic,Tablet,USA,Free,Sign-up,4.0,16.0,0.0,0.0,Good enough for my use case,3.3,0,1,0,0.0,0.0,0.0,8.0
130,2026-04-27,Organic,Mobile,USA,Free,Onboarding,4.0,32.0,1.0,0.0,Still evaluating whether premium is worth it,3.7,0,1,1,0.0,0.0,0.0,7.0
131,2025-03-22,Organic,Tablet,USA,Free,Landing,,11.0,0.0,0.0,Pricing feels too expensive,2.3,0,1,0,1.0,0.0,0.0,3.0
132,2025-06-19,Organic,Mobile,USA,Free,Sign-up,2.0,18.0,0.0,0.0,App crashes during report export,1.3,0,1,0,0.0,0.0,0.0,7.0
133,2026-01-13,Paid,Mobile,UK,Free,First Feature Use,8.0,68.0,7.0,2.0,Not sure if I'll continue,3.6,0,1,1,0.0,0.0,0.0,15.0
134,2025-04-09,Paid,Desktop,Germany,Free,Onboarding,3.0,31.0,3.0,0.0,Nothing exceptional,2.9,0,1,1,0.0,1.0,0.0,10.0
135,2026-02-05,Referral,Mobile,USA,Free,Landing,1.0,6.0,0.0,0.0,Mobile UI is cluttered,2.2,0,1,0,0.0,0.0,0.0,6.0
136,2025-03-15,Paid,Mobile,Germany,Free,First Feature Use,7.0,41.0,7.0,1.0,Learning curve is medium,2.5,0,1,1,0.0,0.0,0.0,15.0
137,2026-01-09,Paid,Tablet,USA,Free,First Feature Use,10.0,49.0,6.0,0.0,Best SaaS tool I've used,4.2,0,1,1,0.0,0.0,0.0,15.0
138,2026-03-17,Organic,Mobile,USA,Free,Landing,1.0,5.0,0.0,0.0,Billing system is confusing,2.3,0,1,0,1.0,0.0,0.0,1.0
139,2025-06-07,Organic,Mobile,USA,Free,Onboarding,4.0,23.0,2.0,1.0,Decent but not great,3.6,0,1,1,1.0,1.0,0.0,3.0
140,2025-08-08,Organic,Mobile,USA,Basic,Onboarding,7.0,34.0,3.0,0.0,Similar to other tools,2.5,0,0,1,,1.0,11.0,3.0
141,2025-11-20,Paid,Tablet,USA,Free,Landing,1.0,6.0,0.0,0.0,Export functionality is limited,1.9,0,1,0,0.0,0.0,0.0,2.0
142,2025-01-18,Organic,Desktop,India,Free,Sign-up,2.0,22.0,0.0,0.0,Missing key features compared to competitors,1.6,0,1,0,1.0,1.0,0.0,3.0
143,2025-05-11,Paid,Mobile,India,Free,Landing,,9.0,0.0,0.0,Data sync is unreliable,2.0,0,1,0,0.0,0.0,0.0,4.0
144,2025-03-06,Paid,Mobile,India,Free,Sign-up,2.0,11.0,1.0,1.0,Cannot customize reports enough,2.5,0,1,0,0.0,0.0,0.0,3.0
145,2025-09-01,Organic,Desktop,USA,Free,Landing,1.0,10.0,0.0,0.0,Mobile app crashes while exporting reports,1.8,0,1,0,0.0,0.0,0.0,3.0
146,2025-01-09,Organic,Mobile,India,Basic,Onboarding,5.0,35.0,3.0,0.0,Learning curve is medium,2.8,0,0,1,0.0,0.0,14.0,8.0
147,2025-12-04,Paid,Mobile,UK,Free,Landing,1.0,8.0,0.0,0.0,App crashes during report export,1.1,0,1,0,0.0,0.0,0.0,3.0
148,2026-01-11,Organic,Desktop,Canada,Free,Sign-up,2.0,19.0,1.0,0.0,Too many bugs on mobile,1.3,0,1,0,0.0,0.0,0.0,9.0
149,2025-04-16,Paid,Mobile,USA,Free,Onboarding,4.0,43.0,3.0,0.0,Learning curve is medium,3.7,0,1,1,1.0,0.0,0.0,3.0
150,2026-03-13,Paid,Desktop,Canada,Free,First Feature Use,11.0,47.0,7.0,0.0,Worth every penny,4.8,0,1,1,0.0,0.0,0.0,17.0
151,2025-03-08,Paid,Desktop,India,Free,Landing,2.0,6.0,0.0,0.0,Pricing feels too expensive,2.2,0,1,0,0.0,0.0,0.0,4.0
152,2025-10-07,Referral,Desktop,India,Free,Sign-up,4.0,12.0,0.0,0.0,Similar to other tools,2.7,0,1,0,,0.0,0.0,6.0
153,2025-05-09,Paid,Mobile,USA,Free,Onboarding,4.0,31.0,3.0,0.0,Ok for basic use,3.2,0,1,1,1.0,1.0,0.0,10.0
154,2025-11-25,Referral,Mobile,USA,Free,Landing,1.0,10.0,0.0,0.0,UI feels outdated,2.1,0,1,0,0.0,0.0,0.0,4.0
155,2025-01-24,Organic,Mobile,UK,Free,Onboarding,5.0,39.0,1.0,0.0,Ok for basic use,3.1,0,1,1,0.0,0.0,0.0,12.0
156,2025-11-08,Paid,Mobile,USA,Premium,Upgrade,24.0,82.0,17.0,1.0,Automated reports are a lifesaver,4.3,1,0,1,1.0,0.0,0.0,6.0
157,2026-01-21,Organic,Mobile,USA,Free,Sign-up,4.0,12.0,1.0,0.0,Decent but not great,3.0,0,1,0,1.0,0.0,0.0,9.0
158,2025-12-02,Organic,Mobile,Canada,Basic,First Feature Use,8.0,49.0,4.0,0.0,Standard SaaS experience,3.0,0,0,1,0.0,0.0,7.0,6.0
159,2025-09-18,Organic,Mobile,USA,Free,First Feature Use,11.0,31.0,6.0,0.0,Simple and effective design,4.8,0,1,1,2.0,0.0,0.0,2.0
160,2025-06-14,Paid,Mobile,USA,Free,Sign-up,3.0,14.0,1.0,0.0,Still exploring features,3.3,0,1,0,0.0,0.0,0.0,7.0
161,2025-11-09,Organic,Mobile,UK,Free,Sign-up,4.0,21.0,,0.0,Nothing exceptional,3.0,0,1,0,1.0,0.0,0.0,8.0
162,2025-08-09,Organic,Desktop,USA,Free,First Feature Use,11.0,69.0,5.0,2.0,Customer support was excellent,4.3,0,1,1,1.0,0.0,0.0,11.0
163,2025-11-21,Referral,Desktop,UK,Free,Sign-up,3.0,24.0,1.0,0.0,Ok for basic use,3.8,0,1,0,0.0,1.0,0.0,9.0
164,2025-07-20,Referral,Mobile,UK,Free,Sign-up,4.0,21.0,1.0,0.0,Similar to other tools,3.7,0,1,0,0.0,,0.0,3.0
165,2025-08-09,Paid,Desktop,USA,Free,Sign-up,3.0,13.0,0.0,0.0,Will decide after trial ends,2.6,0,1,0,2.0,0.0,0.0,8.0
166,2025-03-17,Paid,Desktop,India,Free,First Feature Use,8.0,56.0,5.0,0.0,Meets minimum requirements,2.6,0,1,1,0.0,0.0,0.0,2.0
167,2025-06-12,Referral,Mobile,USA,Free,Onboarding,7.0,20.0,1.0,0.0,Still evaluating whether premium is worth it,3.0,0,1,1,0.0,0.0,0.0,12.0
168,2025-07-10,Paid,Mobile,Germany,Free,Landing,1.0,12.0,0.0,0.0,UI feels outdated,2.2,0,1,0,0.0,0.0,0.0,1.0
169,2025-07-14,Organic,Mobile,Canada,Free,Landing,2.0,11.0,0.0,0.0,Too many steps during setup process,1.7,0,1,0,0.0,0.0,0.0,3.0
